City,Country,Amount of couples,Link to Video,Community Website
Aalborg,Denmark,6,https://www.facebook.com/208595569708561/posts/324923294742454/,www.westcoastswing.dk
Aix-en_Provence,France,20,https://youtu.be/0gC5SgIOJr4,www.aixonwest.fr
Biella,Italy,7,https://youtu.be/JX6omb1lLok,
Bonn,Germany,22,https://youtu.be/RlldSOgpiDQ,
Chernihiv,Ukraine,4,,https://www.facebook.com/profile.php?id=100004202705693
Dillingen an der Donau ,Germany,4,https://youtu.be/YwU9r9v5IEg,
Dortmund,Germany,13,,www.tanzstudio-goedde.de
Düsseldorf,Germany,20,https://www.youtube.com/watch?v=Xqx-EBCweD4&feature=youtu.be,http://www.tanzschuledresen.de/dDorf/kurse/westcoast/index.html
Eberbach,Germany,6,https://youtu.be/b34q63LUKqA,
Friedrichshafen,Germany,4,,
Gdansk,Poland,16,https://youtu.be/Sc1Ely-A1DI,http://wayne-aggi-swing.com/west-coast-swing-gdansk/
GOA,India,25,https://www.youtube.com/watch?v=55oYG5iknMM,
Hamburg ,Germany,25,https://m.facebook.com/story.php?story_fbid=2362530660440333&id=100000502667638&_rdr,http://www.westcoastswing-hamburg.net
"Hartford, CT",United States of America,4,https://youtu.be/5_xtUGp2a6U,https://www.facebook.com/events/2705350742937813/
Helsinki,Finland,6,,http://www.comets.fi
Kaiserslautern,Germany,2,https://www.youtube.com/watch?v=Br7ctAaHml4&feature=youtu.be,http://www.unitanz-kl.de/
Kiel,Germany,10,https://www.youtube.com/watch?v=blF5CjzE3ck,www.wcs-kiel.de
Malmö,Sweden,16,https://www.dropbox.com/s/6kdsistscohc30c/180901%20WCS%20Flashmob%20Malm%C3%B6.mp4?dl=0,
Margao,India,40,https://youtu.be/55oYG5iknMM,
Meersburg,Germany,4,,
Mumbai,India,10,https://youtu.be/BPegQk44FiA,https://www.facebook.com/groups/1140161552722441/
"Raleigh, NC",United States of America,10,https://youtu.be/Z5z3Be2e_j4,https://m.facebook.com/profile.php?id=233508853689161&ref=content_filter
Roth,Germany,4,https://youtu.be/2BeoJF9UuTo,www.tsc-roth.de
St. Petersburg,Russia,11,,
Turku,Finland,10,https://www.youtube.com/watch?v=ggfNjSOR864,www.turkuswingsociety.com
Ulm,Germany,22,,
Budapest,Hungary,45,https://youtu.be/hKREc-tl8RA,http://wcshirek.hu/
